@relation 'all-data-pacman-weka.filters.unsupervised.attribute.Reorder-R18-last,first-17-weka.filters.unsupervised.attribute.Remove-R6-weka.filters.unsupervised.attribute.Remove-R8-weka.filters.unsupervised.attribute.NominalToBinary-Rfirst-last'

@attribute Northlegal=False numeric
@attribute Southlegal=False numeric
@attribute Eastlegal=False numeric
@attribute Westlegal=False numeric
@attribute NumDots numeric
@attribute PosX numeric
@attribute PosY numeric
@attribute Ghost1X numeric
@attribute Ghost1Y numeric
@attribute Ghost2X numeric
@attribute Ghost2Y numeric
@attribute Ghost3X numeric
@attribute Ghost3Y numeric
@attribute Ghost4X numeric
@attribute Ghost4Y numeric
@attribute DistGhost1 numeric
@attribute DistGhost2 numeric
@attribute DistGhost3 numeric
@attribute DistGhost4 numeric
@attribute Score numeric
@attribute Direction {East,West,North,South,Stop}

@data
1,0,0,0,0,14,17,10,15,13,15,14,15,17,15,6,3,2,5,-28,South
0,0,1,0,0,14,16,10,15,13,15,14,15,17,15,5,2,1,4,-29,South
0,1,0,0,0,14,15,10,15,13,15,5,1,17,15,4,1,0,3,170,West
0,1,0,0,0,13,15,10,15,3,1,5,1,17,15,3,0,0,4,369,West
1,1,0,0,0,12,15,10,15,3,1,5,1,17,15,2,0,0,5,368,West
1,1,0,0,0,11,15,10,15,3,1,5,1,17,15,1,0,0,6,367,West
1,1,0,1,0,10,15,1,1,3,1,5,1,17,15,0,0,0,7,566,East
1,1,0,0,0,11,15,1,1,3,1,5,1,17,15,0,0,0,6,565,East
1,1,0,0,0,12,15,1,1,3,1,5,1,17,15,0,0,0,5,564,East
0,1,0,0,0,13,15,1,1,3,1,5,1,17,15,0,0,0,4,563,East
0,1,0,0,0,14,15,1,1,3,1,5,1,17,15,0,0,0,3,562,East
1,1,0,0,0,15,15,1,1,3,1,5,1,17,15,0,0,0,2,561,East
1,1,0,0,0,16,15,1,1,3,1,5,1,17,15,0,0,0,1,560,East
0,1,0,1,5,1,3,1,10,2,8,2,9,3,7,7,6,7,6,0,North
0,0,0,1,5,1,4,1,10,2,8,2,9,3,7,6,5,6,5,-1,North
0,0,0,1,5,1,5,1,10,2,8,2,9,3,7,5,4,5,4,-2,North
0,0,0,1,5,1,6,1,10,2,8,2,9,3,7,4,3,4,3,-3,North
0,0,0,1,4,1,7,1,10,2,8,2,9,3,7,3,2,3,2,96,North
0,0,0,1,4,1,8,1,10,2,8,2,9,3,7,2,1,2,3,95,East
0,0,0,0,4,2,8,1,10,3,1,2,9,3,7,3,0,1,2,294,North
0,0,0,0,4,2,9,1,10,3,1,5,1,3,7,2,0,0,3,493,North
1,0,0,0,4,2,10,1,10,3,1,5,1,3,7,1,0,0,4,492,West
1,0,0,1,4,1,10,1,1,3,1,5,1,3,7,0,0,0,5,691,South
0,0,0,1,3,1,9,1,1,3,1,5,1,3,7,0,0,0,4,790,South
0,0,0,1,3,1,8,1,1,3,1,5,1,3,7,0,0,0,3,789,South
0,0,0,1,3,1,7,1,1,3,1,5,1,3,7,0,0,0,2,788,East
0,0,0,0,3,2,7,1,1,3,1,5,1,3,7,0,0,0,1,787,East
1,0,0,0,121,4,12,9,3,11,7,19,12,22,9,14,12,15,21,0,South
0,0,0,0,121,4,11,9,4,11,8,18,12,22,9,12,10,15,20,-1,South
0,0,0,0,121,4,10,10,4,12,8,18,11,22,9,12,10,15,19,-2,South
0,0,0,0,121,4,9,10,4,12,8,18,11,22,9,11,9,16,18,-3,South
0,0,0,0,121,4,8,9,4,12,9,17,11,23,9,9,9,16,20,-4,South
0,0,0,0,121,4,7,8,4,12,9,17,12,23,9,7,10,18,21,-5,South
0,0,0,0,121,4,6,8,4,12,10,16,12,23,8,6,12,18,21,-6,South
0,0,0,0,121,4,5,7,4,13,10,16,12,23,9,4,14,19,23,-7,South
0,0,0,0,121,4,4,6,4,13,11,15,12,23,9,2,16,19,24,-8,East
0,0,0,0,120,5,4,6,4,13,11,16,12,23,10,1,15,19,24,91,East
0,0,0,0,119,6,4,1,1,14,11,15,12,22,10,0,15,17,22,390,North
0,0,0,0,118,6,5,1,1,14,12,15,12,22,9,0,15,16,20,489,North
0,0,0,0,118,6,6,1,1,15,12,15,11,22,9,0,15,14,19,488,North
0,0,0,0,117,6,7,1,1,15,12,15,11,22,8,0,14,13,17,587,North
0,0,0,0,116,6,8,1,1,16,12,15,11,22,8,0,14,12,16,686,North
0,0,0,0,116,6,9,1,1,17,12,15,10,22,8,0,14,10,17,685,North
0,0,0,0,115,6,10,1,1,17,11,14,10,22,9,0,12,8,17,784,East
0,0,0,0,114,7,10,1,1,16,11,15,10,22,9,0,10,8,16,883,East
