@RELATION all-data-pacman


   @ATTRIBUTE PosX NUMERIC
   @ATTRIBUTE PosY NUMERIC
   @ATTRIBUTE Ghost1X NUMERIC
   @ATTRIBUTE Ghost1Y NUMERIC
   @ATTRIBUTE Ghost2X NUMERIC
   @ATTRIBUTE Ghost2Y NUMERIC
   @ATTRIBUTE Ghost3X NUMERIC
   @ATTRIBUTE Ghost3Y NUMERIC
   @ATTRIBUTE Ghost4X NUMERIC
   @ATTRIBUTE Ghost4Y NUMERIC
   @ATTRIBUTE Direction {East, West, North, South, Stop}

   @data
14, 5, 9, 9, 3, 1, 5, 1, 7,1, West
13, 5, 9, 9, 3, 1, 5, 1, 7,1, West
12, 5, 8, 9, 3, 1, 5, 1, 7,1, West
11, 5, 8, 9, 3, 1, 5, 1, 7,1, West
10, 5, 8, 9, 3, 1, 5, 1, 7,1, North
10, 6, 7, 9, 3, 1, 5, 1, 7,1, North
10, 7, 6, 9, 3, 1, 5, 1, 7,1, North
10, 8, 6, 8, 3, 1, 5, 1, 7,1, West
9, 8, 7, 8, 3, 1, 5, 1, 7,1, West
8, 8, 7, 9, 3, 1, 5, 1, 7,1, West
7, 8, 6, 9, 3, 1, 5, 1, 7,1, West
6, 8, 6, 9, 3, 1, 5, 1, 7,1, West
5, 8, 7, 9, 3, 1, 5, 1, 7,1, West
4, 8, 7, 9, 3, 1, 5, 1, 7,1, West
3, 8, 7, 8, 3, 1, 5, 1, 7,1, East
4, 8, 8, 8, 3, 1, 5, 1, 7,1, East
5, 8, 9, 8, 3, 1, 5, 1, 7,1, East
6, 8, 9, 7, 3, 1, 5, 1, 7,1, East
7, 8, 9, 8, 3, 1, 5, 1, 7,1, East
8, 8, 9, 9, 3, 1, 5, 1, 7,1, East
9, 8, 8, 9, 3, 1, 5, 1, 7,1, East
10, 8, 8, 9, 3, 1, 5, 1, 7,1, North
10, 9, 9, 9, 3, 1, 5, 1, 7,1, West
1, 11, 6, 5, 6, 9, 8, 11, 14,6, Stop
1, 11, 6, 4, 7, 9, 9, 11, 14,6, East
2, 11, 6, 5, 8, 9, 10, 11, 14,6, East
3, 11, 7, 5, 9, 9, 9, 11, 14,5, East
4, 11, 8, 5, 9, 9, 8, 11, 14,6, East
5, 11, 8, 6, 10, 9, 7, 11, 14,6, East
6, 11, 8, 6, 11, 9, 8, 11, 14,5, East
7, 11, 9, 6, 10, 9, 5, 1, 13,5, East
8, 11, 9, 7, 10, 10, 5, 1, 13,5, East
9, 11, 9, 6, 10, 9, 5, 1, 13,5, East
10, 11, 10, 6, 10, 9, 5, 1, 14,5, South
10, 10, 10, 5, 3, 1, 5, 1, 13,5, South
10, 9, 9, 5, 3, 1, 5, 1, 13,5, South
10, 8, 9, 6, 3, 1, 5, 1, 12,5, South
10, 7, 8, 6, 3, 1, 5, 1, 13,5, South
10, 6, 8, 7, 3, 1, 5, 1, 14,5, South
10, 5, 7, 7, 3, 1, 5, 1, 15,5, West
9, 5, 7, 7, 3, 1, 5, 1, 14,5, North
9, 6, 7, 7, 3, 1, 5, 1, 14,5, North
9, 7, 8, 7, 3, 1, 5, 1, 14,6, West
8, 7, 1, 1, 3, 1, 5, 1, 14,6, West
7, 7, 1, 1, 3, 1, 5, 1, 14,6, West
6, 7, 1, 1, 3, 1, 5, 1, 14,7, East
7, 7, 1, 1, 3, 1, 5, 1, 15,7, East
8, 7, 1, 1, 3, 1, 5, 1, 15,8, East
