@RELATION all-data-pacman


   @ATTRIBUTE PosX NUMERIC
   @ATTRIBUTE PosY NUMERIC
   @ATTRIBUTE LastDirection {East, West, North, South, Stop}
   @ATTRIBUTE Ghost1X NUMERIC
   @ATTRIBUTE Ghost1Y NUMERIC
   @ATTRIBUTE Ghost2X NUMERIC
   @ATTRIBUTE Ghost2Y NUMERIC
   @ATTRIBUTE Ghost3X NUMERIC
   @ATTRIBUTE Ghost3Y NUMERIC
   @ATTRIBUTE Ghost4X NUMERIC
   @ATTRIBUTE Ghost4Y NUMERIC
   @ATTRIBUTE CloseGhostDist NUMERIC
   @ATTRIBUTE Score NUMERIC
   @ATTRIBUTE Direction {East, West, North, South, Stop}

   @data
14, 3, South, 6, 4, 3, 1, 5, 9, 17,4, 3, 266, Stop
14, 3, South, 5, 4, 3, 1, 6, 9, 17,3, 4, 265, East
15, 3, East, 6, 4, 3, 1, 6, 8, 18,3, 4, 264, East
16, 3, East, 6, 4, 3, 1, 5, 8, 18,4, 2, 263, East
17, 3, East, 6, 3, 3, 1, 4, 8, 17,4, 2, 262, North
17, 4, North, 6, 4, 3, 1, 3, 8, 16,4, 2, 261, North
17, 5, North, 6, 4, 3, 1, 2, 8, 16,5, 1, 260, West
16, 5, West, 6, 5, 3, 1, 2, 9, 7,1, 10, 459, West
15, 5, West, 6, 4, 3, 1, 3, 9, 7,1, 10, 458, West
14, 5, West, 6, 3, 3, 1, 3, 8, 7,1, 10, 457, West
13, 5, West, 6, 4, 3, 1, 2, 8, 7,1, 8, 456, West
12, 5, West, 6, 5, 3, 1, 2, 7, 7,1, 6, 455, West
11, 5, West, 7, 5, 3, 1, 3, 7, 7,1, 4, 454, West
10, 5, West, 6, 5, 3, 1, 4, 7, 7,1, 4, 453, North
10, 6, North, 7, 5, 3, 1, 3, 7, 7,1, 4, 552, North
10, 7, North, 7, 5, 3, 1, 4, 7, 7,1, 5, 551, West
9, 7, West, 7, 4, 3, 1, 3, 7, 7,1, 5, 550, West
8, 7, West, 6, 4, 3, 1, 3, 8, 7,1, 5, 549, West
7, 7, West, 6, 5, 3, 1, 3, 8, 7,1, 3, 548, West
6, 7, West, 6, 5, 3, 1, 2, 8, 7,1, 2, 547, West
5, 7, West, 6, 4, 3, 1, 2, 7, 7,1, 3, 546, West
4, 7, West, 7, 4, 3, 1, 2, 7, 7,1, 2, 545, West
3, 7, West, 7, 5, 3, 1, 2, 7, 7,1, 1, 544, West
2, 7, West, 8, 5, 3, 1, 5, 1, 7,1, 8, 743, West
1, 7, West, 9, 5, 3, 1, 5, 1, 7,1, 10, 742, Stop
1, 7, West, 9, 5, 3, 1, 5, 1, 7,1, 10, 741, Stop
1, 7, West, 9, 6, 3, 1, 5, 1, 7,1, 9, 740, East
2, 7, East, 9, 7, 3, 1, 5, 1, 7,1, 7, 739, East
3, 7, East, 9, 7, 3, 1, 5, 1, 7,1, 6, 738, East
4, 7, East, 9, 7, 3, 1, 5, 1, 7,1, 5, 737, East
5, 7, East, 9, 7, 3, 1, 5, 1, 7,1, 4, 736, East
6, 7, East, 10, 7, 3, 1, 5, 1, 7,1, 4, 735, East
7, 7, East, 10, 7, 3, 1, 5, 1, 7,1, 3, 734, East
8, 7, East, 10, 8, 3, 1, 5, 1, 7,1, 3, 733, South
8, 6, South, 10, 7, 3, 1, 5, 1, 7,1, 3, 732, South
8, 5, South, 10, 6, 3, 1, 5, 1, 7,1, 3, 731, South
8, 4, South, 10, 5, 3, 1, 5, 1, 7,1, 3, 730, South
8, 3, South, 11, 5, 3, 1, 5, 1, 7,1, 5, 729, Stop
8, 3, South, 11, 4, 3, 1, 5, 1, 7,1, 4, 728, East
9, 3, East, 11, 4, 3, 1, 5, 1, 7,1, 3, 727, East
10, 3, East, 11, 4, 3, 1, 5, 1, 7,1, 2, 726, North
10, 4, North, 11, 5, 3, 1, 5, 1, 7,1, 2, 725, North
10, 5, North, 12, 5, 3, 1, 5, 1, 7,1, 2, 724, North
10, 6, North, 12, 5, 3, 1, 5, 1, 7,1, 3, 723, North
10, 7, North, 11, 5, 3, 1, 5, 1, 7,1, 3, 722, North
10, 8, North, 11, 4, 3, 1, 5, 1, 7,1, 5, 721, North
10, 9, North, 11, 5, 3, 1, 5, 1, 7,1, 5, 720, South
10, 8, South, 10, 5, 3, 1, 5, 1, 7,1, 3, 719, South
10, 7, South, 10, 5, 3, 1, 5, 1, 7,1, 2, 718, South
10, 6, South, 11, 5, 3, 1, 5, 1, 7,1, 2, 717, South
1, 11, Stop, 6, 5, 6, 9, 8, 11, 14,6, 7, 0, South
1, 10, South, 5, 5, 6, 8, 7, 11, 14,6, 7, -1, South
1, 9, South, 5, 5, 6, 9, 6, 11, 14,6, 5, -2, East
2, 9, East, 5, 4, 6, 9, 6, 11, 14,6, 4, -3, East
3, 9, East, 6, 4, 6, 10, 5, 11, 14,5, 4, -4, East
4, 9, East, 6, 3, 5, 10, 4, 11, 14,6, 2, -5, East
5, 9, East, 5, 3, 5, 10, 3, 11, 14,5, 1, -6, North
5, 10, North, 6, 3, 3, 1, 2, 11, 14,6, 4, 193, North
5, 11, North, 6, 3, 3, 1, 1, 11, 14,7, 4, 192, South
5, 10, South, 7, 3, 3, 1, 1, 10, 14,6, 4, 191, South
5, 9, South, 6, 3, 3, 1, 1, 10, 14,5, 5, 190, West
4, 9, West, 7, 3, 3, 1, 1, 9, 13,5, 3, 189, West
3, 9, West, 6, 3, 3, 1, 1, 9, 13,4, 2, 188, West
2, 9, West, 6, 4, 3, 1, 1, 10, 13,3, 2, 187, West
1, 9, West, 7, 4, 3, 1, 1, 11, 13,4, 2, 186, South
1, 8, South, 6, 4, 3, 1, 1, 11, 14,4, 3, 185, South
1, 7, South, 6, 4, 3, 1, 1, 10, 14,4, 3, 184, North
1, 8, North, 6, 3, 3, 1, 1, 11, 14,3, 3, 183, North
1, 9, North, 6, 3, 3, 1, 1, 11, 14,3, 2, 182, North
1, 10, North, 6, 4, 3, 1, 5, 1, 14,4, 11, 381, North
1, 11, North, 5, 4, 3, 1, 5, 1, 14,3, 11, 380, East
2, 11, East, 5, 5, 3, 1, 5, 1, 13,3, 9, 379, East
3, 11, East, 6, 5, 3, 1, 5, 1, 13,4, 9, 378, East
4, 11, East, 6, 4, 3, 1, 5, 1, 14,4, 9, 377, East
5, 11, East, 7, 4, 3, 1, 5, 1, 14,5, 9, 376, East
6, 11, East, 7, 4, 3, 1, 5, 1, 14,5, 8, 375, East
7, 11, East, 7, 3, 3, 1, 5, 1, 14,6, 8, 374, East
8, 11, East, 8, 3, 3, 1, 5, 1, 14,6, 8, 373, East
9, 11, East, 8, 4, 3, 1, 5, 1, 14,7, 8, 372, East
10, 11, East, 7, 4, 3, 1, 5, 1, 15,7, 10, 371, East
11, 11, East, 7, 3, 3, 1, 5, 1, 16,7, 8, 370, East
12, 11, East, 6, 3, 3, 1, 5, 1, 15,7, 8, 369, East
13, 11, East, 7, 3, 3, 1, 5, 1, 16,7, 6, 368, East
14, 11, East, 6, 3, 3, 1, 5, 1, 16,8, 6, 367, South
14, 10, South, 6, 4, 3, 1, 5, 1, 17,8, 4, 466, South
14, 9, South, 6, 3, 3, 1, 5, 1, 17,9, 2, 465, South
14, 8, South, 7, 3, 3, 1, 5, 1, 16,9, 4, 464, East
15, 8, East, 7, 4, 3, 1, 5, 1, 17,9, 3, 463, East
16, 8, East, 7, 4, 3, 1, 5, 1, 17,9, 2, 462, North
16, 9, North, 8, 4, 3, 1, 5, 1, 17,9, 2, 461, Stop
16, 9, North, 8, 4, 3, 1, 5, 1, 18,9, 3, 460, Stop
16, 9, North, 9, 4, 3, 1, 5, 1, 18,10, 3, 459, East
17, 9, East, 10, 4, 3, 1, 5, 1, 18,10, 1, 458, East
18, 9, East, 9, 4, 3, 1, 5, 1, 7,1, 14, 657, Stop
18, 9, East, 9, 4, 3, 1, 5, 1, 7,1, 14, 656, Stop
18, 9, East, 9, 4, 3, 1, 5, 1, 7,1, 14, 655, West
17, 9, West, 8, 4, 3, 1, 5, 1, 7,1, 14, 654, West
16, 9, West, 8, 4, 3, 1, 5, 1, 7,1, 13, 653, West
15, 9, West, 7, 4, 3, 1, 5, 1, 7,1, 13, 652, West
