@RELATION all-data-pacman


   @ATTRIBUTE PosX NUMERIC
   @ATTRIBUTE PosY NUMERIC
   @ATTRIBUTE LastDirection {East, West, North, South, Stop}
   @ATTRIBUTE CloseGhostDist NUMERIC
   @ATTRIBUTE Score NUMERIC
   @ATTRIBUTE Direction {East, West, North, South, Stop}

   @data
7, 5, North, 10, 658, East
8, 5, East, 9, 657, East
9, 5, East, 7, 656, North
9, 6, North, 9, 655, North
9, 7, North, 9, 654, North
9, 8, North, 9, 653, East
10, 8, East, 8, 652, Stop
10, 8, East, 9, 651, North
10, 9, North, 11, 650, North
10, 10, North, 13, 649, East
11, 10, East, 12, 648, Stop
11, 10, East, 11, 647, Stop
11, 10, East, 12, 646, North
11, 11, North, 12, 645, Stop
11, 11, North, 13, 644, East
12, 11, East, 12, 643, East
13, 11, East, 10, 642, East
14, 11, East, 8, 641, South
14, 10, South, 8, 740, South
14, 9, South, 8, 739, South
14, 8, South, 6, 738, South
14, 7, South, 6, 737, South
14, 6, South, 5, 736, South
14, 5, South, 4, 735, South
14, 4, South, 4, 734, East
15, 4, East, 2, 733, East
16, 4, East, 2, 732, East
17, 4, East, 2, 731, East
18, 4, East, 1, 730, Stop
1, 11, Stop, 7, 0, East
2, 11, East, 5, -1, East
3, 11, East, 5, -2, East
4, 11, East, 3, -3, East
5, 11, East, 1, -4, East
6, 11, East, 1, -5, East
7, 11, East, 1, -6, East
8, 11, East, 2, 193, East
9, 11, East, 3, 192, East
10, 11, East, 5, 191, West
9, 11, West, 5, 190, West
8, 11, West, 5, 189, West
7, 11, West, 5, 188, West
6, 11, West, 3, 187, West
5, 11, West, 2, 186, West
4, 11, West, 3, 185, West
3, 11, West, 4, 184, West
2, 11, West, 6, 183, West
1, 11, West, 6, 182, East
2, 11, East, 4, 181, East
3, 11, East, 2, 180, East
4, 11, East, 7, 379, East
5, 11, East, 8, 378, East
6, 11, East, 8, 377, South
6, 10, South, 8, 376, South
6, 9, South, 8, 375, South
6, 8, South, 7, 374, East
7, 8, East, 7, 373, East
8, 8, East, 9, 372, South
8, 7, South, 9, 371, South
8, 6, South, 7, 370, South
8, 5, South, 5, 369, West
7, 5, West, 3, 368, West
6, 5, West, 3, 367, West
5, 5, West, 1, 366, West
4, 5, West, 11, 565, West
3, 5, West, 12, 564, East
4, 5, East, 12, 563, East
5, 5, East, 10, 562, East
